step  power(W)
5500    0.11892000688135593
5520    0.11891336402000001
5540    0.1189047921730769
5560    0.11888594914545458
5580    0.11886402067692307
5600    0.11885581991176464
5620    0.11888154104477612
5640    0.11894471857575759
5660    0.11904968525454548
5680    0.11917128395588238
5700    0.11929759383823528
5720    0.1194444050740741
5740    0.11950350913235293
5760    0.11952919888709677
5780    0.1194903357761194
5800    0.11935822278431373
5820    0.11920023983823537
5840    0.11909950663934427
5860    0.11909879838805969
5880    0.11906357569696968
5900    0.11907196024137931
5920    0.11886690087323945
5940    0.1183818222686567
5960    0.11781107918181818
5980    0.11782237615873016
6000    0.11766209448214286
6020    0.1172974416875
6040    0.11683735167647061
6060    0.11636682916176466
6080    0.11599084484999998
6100    0.11564619938181815
6120    0.11528029576363635
6140    0.11498105572727269
6160    0.11473773817857143
6180    0.11436519885714284
6200    0.11357724191803278
6220    0.11248911264179111
6240    0.11136256915624998
6260    0.11022903698550723
6280    0.10930812610144928
6300    0.10839203004477613
6320    0.10732061909090906
6340    0.1058726776764706
6360    0.10475188566666664
6380    0.10373433114035087
6400    0.10229437547826085
6420    0.10049034684615384
6440    0.09883019909264705
6460    0.0973073214490566
6480    0.09577634419552239
6500    0.09415546597777778
6520    0.09268252913235295
6540    0.09114798452830188
6560    0.0894366912574074
6580    0.08762863820606061
6600    0.08600523177910452
6620    0.084534644820339
6640    0.0830535253080645
6660    0.08131030039565215
6680    0.07954700255625001
6700    0.07784329484999997
6720    0.0761442668238806
6740    0.07438737834057972
6760    0.07256062190666666
6780    0.07053667950757575
6800    0.0683965178970588
6820    0.06613253114374998
6840    0.06367624700999999
6860    0.06143472641159424
6880    0.059553143942105286
6900    0.05753981506666669
6920    0.05534684734264705
6940    0.053180434860606085
6960    0.050954083426923064
6980    0.04844431701969695
7000    0.04599512624150942
7020    0.04361409432238804
7040    0.04134050821153846
7060    0.039400037173134325
7080    0.03768927773906251
7100    0.03563841600877193
7120    0.03330516696129031
7140    0.031145071609090913
7160    0.02928249889423077
7180    0.02754922234444446
7200    0.025769008570149254
7220    0.02372813237368421
7240    0.02197549020169491
7260    0.020586693889230765
7280    0.01912858050909091
7300    0.01748544137199999
7320    0.016077958299999993
7340    0.014866584850793646
7360    0.013652264026530607
7380    0.012399424633823528
7400    0.01113346376875
7420    0.009978221264615379
7440    0.008862960376086955
7460    0.007667855305294121
7480    0.006846707905373131
7500    0.006227960125757575
7520    0.0057030206590740744
7540    0.005145189528852457
7560    0.004546467213
7580    0.003948015298153844
7600    0.0033747510476923076
7620    0.0027636736466666663
7640    0.0021553353476
7660    0.0016238001349999991
7680    0.0012303929513513513
7700    0.0009454446868200002
7720    0.0007333030014909092
7740    0.0005449283257719299
7760    0.0003939873866792452
7780    0.00027762507252727275
7800    0.00020049793129999996
7820    0.00014991129821153844
7840    0.00011654603438235291
7860    9.160424600196079e-05
7880    7.477765602340423e-05
7900    6.428134344081634e-05
7920    5.697789510281688e-05
7940    5.07699302195652e-05
7960    4.499390312499999e-05
7980    3.9983557139999994e-05
8000    3.550576517499999e-05
8020    3.2030093199999994e-05
8040    2.9330536509722227e-05
8060    2.668311909285714e-05
8080    2.466721399387756e-05
8100    2.259088294363636e-05
8120    2.091273953333333e-05
8140    1.9242227194230774e-05
8160    1.7542249327999997e-05
8180    1.6318311769090916e-05
8200    1.4887409120289848e-05
8220    1.3458651518918916e-05
8240    1.2432283576785716e-05
8260    1.1210370065384613e-05
8280    1.0353474825925929e-05
8300    9.653042762391303e-06
8320    9.072411221739129e-06
8340    8.582812728333336e-06
8360    8.061064071509435e-06
8380    7.454640026545454e-06
8400    6.846273261153848e-06
8420    6.233684587916666e-06
8440    5.693231365156253e-06
8460    5.19076005578125e-06
8480    4.76195548425926e-06
8500    4.368164795373137e-06
8520    3.987562195087719e-06
8540    3.612424367692307e-06
8560    3.273581892372882e-06
8580    2.9262017256451615e-06
8600    2.581444975208333e-06
8620    2.281063631e-06
8640    2.0392514855172417e-06
8660    1.8250528580392161e-06
8680    1.7015696340000001e-06
8700    1.5939379410909093e-06
8720    1.5543215744897953e-06
8740    1.5330741634426227e-06
8760    1.5120827453333334e-06
8780    1.5103243546428574e-06
8800    1.504859172e-06
8820    1.507193653617021e-06
8840    1.49940652e-06
8860    1.5045101090196078e-06
8880    1.5008130158974356e-06
8900    1.5050452260377353e-06
8920    1.491850661785714e-06
8940    1.51253566140625e-06
8960    1.5047507269999994e-06
8980    1.494930145660377e-06
9000    1.4971556484210521e-06
9020    1.5003789873214284e-06
9040    1.4812824616981132e-06
9060    1.5053108031914895e-06
9080    1.5046636135483878e-06
9100    1.4987833791304347e-06
9120    1.4978142688679248e-06
9140    1.5064123594545451e-06
9160    1.501769911785714e-06
9180    1.5118158899999988e-06
